legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
b0045aef,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b08a3e5c,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b2002b86,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b21791cd,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b2b00f8b,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b3bafd07,Prestataires,false,false,missing_from_main_source
b4120054,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b414150e,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b5309448,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
b54365c5,CRM|Contacts sup|Prestataires,false,false,missing_from_main_source
b61e4fbe,Galerie|Horaires|Prestataires,false,false,missing_from_main_source
b63b38bb,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires,true,true,in_clean_bundle
b652da63,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
b716cbe7,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b74aa3f4,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b74cbb62,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b76340fd,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
b7d17801,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b7f612c9,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
b86cd5e3,Berta 2.0 - Berta 2.0 (3).csv,true,true,in_clean_bundle
b9c7c5bf-f519-4d73-aad8-bb19cd0230bd,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Tarifs,true,true,in_clean_bundle
bc1fce20,Prestataires,false,false,missing_from_main_source
bdc469ed,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires,true,true,in_clean_bundle
be82b4f3,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
bee1c73f,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
bf08aa73,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
bf5b8eff,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c07c5e9a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c0a466e9,Berta 2.0 - Berta 2.0 (3).csv|CRM|D_Durable|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c1836d5d,CRM|Prestataires|Tarifs,false,false,missing_from_main_source
c1b15fce,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
c1f84e86,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
c20dc8f8,Prestataires,false,false,missing_from_main_source
c2941514,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
c3e9e4d5,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
c48cf8d8,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
c49f03be,Prestataires,false,false,missing_from_main_source
c4ad25f4,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
c4eec55e,CRM|Galerie|Prestataires,false,false,missing_from_main_source
c51a5142,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c5385694,CRM|Galerie|Prestataires,false,false,missing_from_main_source
c58d3d10,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c6d5eae0,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c6fe7cb2,CRM|Galerie|Prestataires|Tarifs,false,false,missing_from_main_source
c7287dda,CRM|Galerie|Prestataires|Tarifs,false,false,missing_from_main_source
c8b60ca4,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c8c614c6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c93fda30,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
c97e2026,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c9a5acce,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
c9df1840,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Prestataires,true,true,in_clean_bundle
