import_batch_id,staging_object_key,kind_code,unit_code,amount,currency,conditions,source,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,recMOIuUm6lKV3zN1,adulte,par_nuit,80.00,EUR,chambre double/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""77796213"",""Object_id"":""recMOIuUm6lKV3zN1"",""Description"":"""",""Tarif Montant"":""80"",""Tarif libellé"":""chambre double/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recmdf4qFuVVyaFav,adulte,par_personne_nuit,25.00,EUR,pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""6b1106dc"",""Object_id"":""recmdf4qFuVVyaFav"",""Description"":"""",""Tarif Montant"":""25"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recxQP6ZkcgLG5r3S,adulte,par_personne_nuit,20.00,EUR,pers./nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""3ee522e6"",""Object_id"":""recxQP6ZkcgLG5r3S"",""Description"":"""",""Tarif Montant"":""20"",""Tarif libellé"":""pers./nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,af78e6d7,adulte,par_personne,30.00,EUR,À partir de | Apéritif/Entrée/plat/dessert | repas/pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""cc0e5edf"",""Object_id"":""af78e6d7"",""Description"":""Apéritif/Entrée/plat/dessert"",""Tarif Montant"":""30"",""Tarif libellé"":""repas/pers."",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,reccHIVp7euYxlSGu,adulte,par_nuit,80.00,EUR,chambre double avec petit déjeuner/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""3e192c5a"",""Object_id"":""reccHIVp7euYxlSGu"",""Description"":"""",""Tarif Montant"":""80"",""Tarif libellé"":""chambre double avec petit déjeuner/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,0cfcf8dd,adulte,par_nuit,140.00,EUR,À partir de | chambre double avec petit déjeuner/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""3198b8fd"",""Object_id"":""0cfcf8dd"",""Description"":"""",""Tarif Montant"":""140"",""Tarif libellé"":""chambre double avec petit déjeuner/nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,ccd1add0,adulte,par_personne,35.00,EUR,À partir de | Apéritif/Entrée/plat/dessert | repas/pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""1f7392c3"",""Object_id"":""ccd1add0"",""Description"":""Apéritif/Entrée/plat/dessert"",""Tarif Montant"":""35"",""Tarif libellé"":""repas/pers."",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recD5BtUZul1AMUmq,adulte,par_nuit,80.00,EUR,nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""aaa4661f"",""Object_id"":""recD5BtUZul1AMUmq"",""Description"":"""",""Tarif Montant"":""80"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recDHjG1lQVPlasLV,adulte,par_nuit,55.00,EUR,nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""a5eb42d1"",""Object_id"":""recDHjG1lQVPlasLV"",""Description"":"""",""Tarif Montant"":""55"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recIzjbG6ZkQo1moe,adulte,par_nuit,90.00,EUR,chambre double/nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""84e99ac5"",""Object_id"":""recIzjbG6ZkQo1moe"",""Description"":"""",""Tarif Montant"":""90"",""Tarif libellé"":""chambre double/nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recLwYJ5mSKfz2cY4,adulte,par_nuit,195.00,EUR,À partir de | à partir de 2 nuits | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""295252a5"",""Object_id"":""recLwYJ5mSKfz2cY4"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""195"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,rec24oq9hEWo7CiRW,adulte,par_nuit,89.00,EUR,à partir de 2 nuits | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""9a5a1b06"",""Object_id"":""rec24oq9hEWo7CiRW"",""Description"":""à partir de 2 nuits"",""Tarif Montant"":""89"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recrXpfhr4ww18lTF,adulte,,75.00,EUR,par nuit | chambre double,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""afd42df4"",""Object_id"":""recrXpfhr4ww18lTF"",""Description"":""par nuit"",""Tarif Montant"":""75"",""Tarif libellé"":""chambre double"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recUOCYFvmBoqRPQ9,adulte,par_semaine,500.00,EUR,À partir de | Pour 6 personnes | semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""8c5a778c"",""Object_id"":""recUOCYFvmBoqRPQ9"",""Description"":""Pour 6 personnes"",""Tarif Montant"":""500"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recII1qWVn9AJ4BeR,adulte,par_semaine,230.00,EUR,semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""f63a13bd"",""Object_id"":""recII1qWVn9AJ4BeR"",""Description"":"""",""Tarif Montant"":""230"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,113a206c,adulte,,70.00,EUR,par nuit | chambre double,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""9f65124c"",""Object_id"":""113a206c"",""Description"":""par nuit"",""Tarif Montant"":""70"",""Tarif libellé"":""chambre double"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,595f03c0,adulte,par_semaine,700.00,EUR,semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""1b9fdfb0"",""Object_id"":""595f03c0"",""Description"":"""",""Tarif Montant"":""700"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
