Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
a0280969,recAz79tqNPNUQNYF,,20,pers.,,À partir de
ae07bf86,rec3bDNQbcQSRGepN,de 2 à 12 ans,35,enfant,,À partir de
b4db54ed,rec3bDNQbcQSRGepN,à partir de 13 ans,55,pers.,,À partir de
7799baf0,986ea8dd,,90,nuit,,
8271ee66,7f9e5843,Maximum 6 personnes,20,pers.,,À partir de
bb356176,7f9e5843,,60,pers.,,À partir de
fb8b4618,5D60AA1162,de 8 à 11 ans,4,enfant,,À partir de
040328cf,5D60AA1162,Adulte,6,pers.,,À partir de
5dc9f79f,recyyAOrP4ABYe0Qk,par nuit,65,chambre double,,
c40626b9,recyyAOrP4ABYe0Qk,Repas,25,,,À partir de
826d2ad7,rec5iakVAF0iIewJ4,,1190,semaine,,À partir de
e60adcb7,rec5iakVAF0iIewJ4,,595,week-end,,À partir de
5519c31f,3eedd265,par nuit,180,chambre double avec petit déjeuner,,À partir de
c3ebf57b,35985348,,8,pers.,,
2de8078c,a59d0ac7,,12,,,
1c3ade97,57a90f0e,,23,chambre simple avec petit-déjeuner,,À partir de
52ea53f0,57a90f0e,,47,chambre double avec petit déjeuner,,À partir de
5398d677,57a90f0e,/nuit pour 2 personnes,67,chambre familiale avec petit-déjeuner,,
a32b87b8,135b099f,à partir de 2 nuits,120,bungalow/nuit,,À partir de
3f6dbb6d,rec5yC36m9peYuToo,,7,,,À partir de
81f5c257,4ab919e9,,690,week-end,,À partir de
f783033a,252be0b4,par nuit,80,bungalow,,À partir de
1345325c,d8d19440,par nuit,280,bungalow,,À partir de
ca3b96ba,f97d103d,à partir de 2 nuits,650,week,,À partir de
440cd559,f97d103d,à partir de 2 nuits,500,bungalow/semaine,,À partir de
ad252c63,recH4XTVM41h84nua,,75,nuit,,
932700d7,aa1c6110,,735,bungalow/week-end,,À partir de
028c5afb,d20caf12,,2,produit,,
08b68fb3,recUIgVhbOSmVZOpH,,520,bungalow/semaine,,À partir de
3760ec8f,recUIgVhbOSmVZOpH,,80,bungalow/nuit,,À partir de
9d7833c1,302f8ece,pour 10 personnes,1400,semaine,,À partir de
58a60e1c,302f8ece,à partir de 2 nuits pour 2 personnes,200,bungalow/week-end,,À partir de
b24c9dc5,recZUGINnXHGGNbNs,,5,produit,,À partir de
f69d5076,1a1a4e3a,Pour 6 personnes,400,week-end,,À partir de
7e793f6b,1a1a4e3a,,195,bungalow/nuit,,À partir de
df9c6219,recxY4pUkZnofQw1g,,8,produit,,
c9963ce1,faf05ed1,,1,produit,,À partir de
ce9daf61,6952bda4,,90,nuit,,
