feed,scope,collection,name,type,declared,observed,count,non_empty,empty,coverage_pct
decouverte,relation,Tarifs,ID,Edm.Int64,True,True,6,6,0,100.0
decouverte,relation,Tarifs,IntituleTarifs,TourInSoft.V5.Syndication.Syndication_FSDECOUVERTEOTISud_428EC9B6BEE14C85B372B15969FB2A19.ListeComplexType,False,True,4,0,4,0.0
decouverte,relation,Tarifs,IntituleTarifs.ThesCode,Edm.String,True,True,2,2,0,100.0
decouverte,relation,Tarifs,IntituleTarifs.ThesID,Edm.Guid,True,True,2,2,0,100.0
decouverte,relation,Tarifs,IntituleTarifs.ThesLibelle,Edm.String,True,True,2,2,0,100.0
decouverte,relation,Tarifs,IntituleTarifs.ThesOrdre,Edm.Int32,True,True,2,2,0,100.0
decouverte,relation,Tarifs,IntituleTarifs.ThesPicto,Edm.String,True,True,2,0,2,0.0
decouverte,relation,Tarifs,MaximumEuro,Edm.Decimal,True,True,6,4,2,66.7
decouverte,relation,Tarifs,MinimumEuro,Edm.Decimal,True,True,6,6,0,100.0
decouverte,relation,Tarifs,Ordre,Edm.Int64,True,True,6,6,0,100.0
