feed,path,scope,collection,name,edm_type,declared,observed,observed_count,non_empty_count,empty_count,coverage_pct,present_in_feed_count,reuse_class,coverage_status,mapping_status,evidence
decouverte,ClassificationSousCategoriePatAgricoles.ID,relation,ClassificationSousCategoriePatAgricoles,ID,Edm.Int64,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.Ordre,relation,ClassificationSousCategoriePatAgricoles,Ordre,Edm.Int64,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.SyndicObjectId,relation,ClassificationSousCategoriePatAgricoles,SyndicObjectId,Edm.String,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.ThesCode,relation,ClassificationSousCategoriePatAgricoles,ThesCode,Edm.String,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.ThesID,relation,ClassificationSousCategoriePatAgricoles,ThesID,Edm.Guid,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.ThesLibelle,relation,ClassificationSousCategoriePatAgricoles,ThesLibelle,Edm.String,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.ThesOrdre,relation,ClassificationSousCategoriePatAgricoles,ThesOrdre,Edm.Int64,True,True,8,8,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatAgricoles.ThesPicto,relation,ClassificationSousCategoriePatAgricoles,ThesPicto,Edm.String,True,True,8,0,8,0.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ID,relation,ClassificationSousCategoriePatCulturels,ID,Edm.Int64,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.Ordre,relation,ClassificationSousCategoriePatCulturels,Ordre,Edm.Int64,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.SyndicObjectId,relation,ClassificationSousCategoriePatCulturels,SyndicObjectId,Edm.String,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ThesCode,relation,ClassificationSousCategoriePatCulturels,ThesCode,Edm.String,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ThesID,relation,ClassificationSousCategoriePatCulturels,ThesID,Edm.Guid,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ThesLibelle,relation,ClassificationSousCategoriePatCulturels,ThesLibelle,Edm.String,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ThesOrdre,relation,ClassificationSousCategoriePatCulturels,ThesOrdre,Edm.Int64,True,True,14,14,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatCulturels.ThesPicto,relation,ClassificationSousCategoriePatCulturels,ThesPicto,Edm.String,True,True,14,0,14,0.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ID,relation,ClassificationSousCategoriePatIndustriels,ID,Edm.Int64,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.Ordre,relation,ClassificationSousCategoriePatIndustriels,Ordre,Edm.Int64,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.SyndicObjectId,relation,ClassificationSousCategoriePatIndustriels,SyndicObjectId,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ThesCode,relation,ClassificationSousCategoriePatIndustriels,ThesCode,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ThesID,relation,ClassificationSousCategoriePatIndustriels,ThesID,Edm.Guid,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ThesLibelle,relation,ClassificationSousCategoriePatIndustriels,ThesLibelle,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ThesOrdre,relation,ClassificationSousCategoriePatIndustriels,ThesOrdre,Edm.Int32,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatIndustriels.ThesPicto,relation,ClassificationSousCategoriePatIndustriels,ThesPicto,Edm.String,True,False,0,0,0,0,1,feed_specific,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.ID,relation,ClassificationSousCategoriePatNaturels,ID,Edm.Int64,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.Ordre,relation,ClassificationSousCategoriePatNaturels,Ordre,Edm.Int64,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.SyndicObjectId,relation,ClassificationSousCategoriePatNaturels,SyndicObjectId,Edm.String,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.ThesCode,relation,ClassificationSousCategoriePatNaturels,ThesCode,Edm.String,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.ThesID,relation,ClassificationSousCategoriePatNaturels,ThesID,Edm.Guid,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.ThesLibelle,relation,ClassificationSousCategoriePatNaturels,ThesLibelle,Edm.String,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategoriePatNaturels.ThesOrdre,relation,ClassificationSousCategoriePatNaturels,ThesOrdre,Edm.Int64,True,True,1,1,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
