schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
public,media,idx_media_title_normalized_trgm,f,f,f,gin,CREATE INDEX idx_media_title_normalized_trgm ON public.media USING gin (title_normalized gin_trgm_ops)
public,media,idx_media_updated_at_published,f,f,t,btree,CREATE INDEX idx_media_updated_at_published ON public.media USING btree (updated_at) WHERE (is_published = true)
public,media,idx_media_visibility,f,f,f,btree,CREATE INDEX idx_media_visibility ON public.media USING btree (visibility)
public,media,media_pkey,t,t,f,btree,CREATE UNIQUE INDEX media_pkey ON public.media USING btree (id)
public,media,uq_media_one_main_per_type,t,f,t,btree,"CREATE UNIQUE INDEX uq_media_one_main_per_type ON public.media USING btree (object_id, media_type_id) WHERE is_main"
public,media,uq_media_one_main_per_type_place,t,f,t,btree,"CREATE UNIQUE INDEX uq_media_one_main_per_type_place ON public.media USING btree (place_id, media_type_id) WHERE is_main"
public,media_tag,idx_media_tag_media_id,f,f,f,btree,CREATE INDEX idx_media_tag_media_id ON public.media_tag USING btree (media_id)
public,media_tag,idx_media_tag_tag_id,f,f,f,btree,CREATE INDEX idx_media_tag_tag_id ON public.media_tag USING btree (tag_id)
public,media_tag,media_tag_pkey,t,t,f,btree,"CREATE UNIQUE INDEX media_tag_pkey ON public.media_tag USING btree (media_id, tag_id)"
public,meeting_room_equipment,idx_meeting_room_equipment_equipment,f,f,f,btree,CREATE INDEX idx_meeting_room_equipment_equipment ON public.meeting_room_equipment USING btree (equipment_id)
public,meeting_room_equipment,idx_meeting_room_equipment_room,f,f,f,btree,CREATE INDEX idx_meeting_room_equipment_room ON public.meeting_room_equipment USING btree (room_id)
public,meeting_room_equipment,meeting_room_equipment_pkey,t,t,f,btree,"CREATE UNIQUE INDEX meeting_room_equipment_pkey ON public.meeting_room_equipment USING btree (room_id, equipment_id)"
public,object,idx_object_cached_amenity_codes_gin,f,f,f,gin,CREATE INDEX idx_object_cached_amenity_codes_gin ON public.object USING gin (cached_amenity_codes)
public,object,idx_object_cached_classification_codes_gin,f,f,f,gin,CREATE INDEX idx_object_cached_classification_codes_gin ON public.object USING gin (cached_classification_codes)
public,object,idx_object_cached_environment_tags_gin,f,f,f,gin,CREATE INDEX idx_object_cached_environment_tags_gin ON public.object USING gin (cached_environment_tags)
public,object,idx_object_cached_language_codes_gin,f,f,f,gin,CREATE INDEX idx_object_cached_language_codes_gin ON public.object USING gin (cached_language_codes)
public,object,idx_object_cached_payment_codes_gin,f,f,f,gin,CREATE INDEX idx_object_cached_payment_codes_gin ON public.object USING gin (cached_payment_codes)
public,object,idx_object_cached_taxonomy_codes_gin,f,f,f,gin,CREATE INDEX idx_object_cached_taxonomy_codes_gin ON public.object USING gin (cached_taxonomy_codes)
public,object,idx_object_name_normalized_btree,f,f,f,btree,CREATE INDEX idx_object_name_normalized_btree ON public.object USING btree (name_normalized)
